Regulating prices in NOK/MWh,,,,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 24-11-2021,,,,,,,,,,,,,,,,,,,,,,,,,
,,NO1,,NO2,,NO3,,NO4,,NO5,,SE1,,SE2,,SE3,,SE4,,FI,,DK1,,DK2,
,Hours,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down
02-11-2021,14 - 15,"1169,94","943,07","1169,94","943,07","141,76","87,75","141,76","87,75","1169,94","943,07",,,,,,,,,,,,,,
02-11-2021,15 - 16,"1013,95","952,33","1013,95","952,33","141,37","87,75","141,37","87,75","1013,95","952,33",,,,,,,,,,,,,,
02-11-2021,16 - 17,"1121,19","966,47","1121,19","966,47","142,44","87,75","142,44","87,75","1121,19","966,47",,,,,,,,,,,,,,
02-11-2021,17 - 18,"1200,00","962,57","1200,00","962,57","137,57","87,75","137,57","87,75","1200,00","962,57",,,,,,,,,,,,,,
02-11-2021,18 - 19,"1200,00","944,92","1200,00","944,92","138,05","68,25","138,05","68,25","1200,00","944,92",,,,,,,,,,,,,,
02-11-2021,19 - 20,"1050,00","886,33","1050,00","886,33","138,54","48,75","138,54","48,75","1050,00","886,33",,,,,,,,,,,,,,
02-11-2021,20 - 21,"965,20","858,54","965,20","858,54","139,42","48,75","139,42","48,75","965,20","858,54",,,,,,,,,,,,,,
02-11-2021,21 - 22,"877,46","833,39","877,46","833,39","138,93","87,75","138,93","87,75","877,46","833,39",,,,,,,,,,,,,,
02-11-2021,22 - 23,"877,46","831,73","877,46","831,73","144,29","144,29","144,29","144,29","877,46","831,73",,,,,,,,,,,,,,
02-11-2021,23 - 00,"877,46","827,54","877,46","827,54","141,47","141,47","141,47","141,47","877,46","827,54",,,,,,,,,,,,,,
03-11-2021,00 - 01,"834,15","834,15","834,15","834,15","132,03","132,03","132,03","132,03","834,15","834,15",,,,,,,,,,,,,,
03-11-2021,01 - 02,"915,26","826,36","915,26","826,36","135,05","135,05","135,05","135,05","915,26","826,36",,,,,,,,,,,,,,
03-11-2021,02 - 03,"915,26","823,54","915,26","823,54","141,87","141,87","141,87","141,87","915,26","823,54",,,,,,,,,,,,,,
03-11-2021,03 - 04,"881,18","824,22","881,18","824,22","146,34","146,34","146,34","146,34","881,18","824,22",,,,,,,,,,,,,,
03-11-2021,04 - 05,"837,36","826,36","837,36","826,36","148,68","148,68","148,68","148,68","837,36","826,36",,,,,,,,,,,,,,
03-11-2021,05 - 06,"849,54","849,54","849,54","849,54","243,42","162,31","243,42","150,34","849,54","849,54",,,,,,,,,,,,,,
03-11-2021,06 - 07,"879,82","879,82","879,82","879,82","243,42","187,34","243,42","151,12","879,82","879,82",,,,,,,,,,,,,,
03-11-2021,07 - 08,"966,77","966,77","966,77","966,77","200,68","200,68","164,26","164,26","966,77","966,77",,,,,,,,,,,,,,
03-11-2021,08 - 09,"1027,23","1027,23","1027,23","1027,23","203,79","203,79","168,15","168,15","1027,23","1027,23",,,,,,,,,,,,,,
03-11-2021,09 - 10,"973,68","973,68","973,68","973,68","204,28","204,28","168,25","168,25","973,68","973,68",,,,,,,,,,,,,,
03-11-2021,10 - 11,"973,29","973,29","973,29","973,29","204,67","204,67","168,25","168,25","973,29","973,29",,,,,,,,,,,,,,
03-11-2021,11 - 12,"1071,05","959,17","1071,05","959,17","246,05","206,32","246,05","168,35","1071,05","959,17",,,,,,,,,,,,,,
03-11-2021,12 - 13,"1114,86","961,80","1114,86","961,80","243,42","203,11","243,42","168,45","1114,86","961,80",,,,,,,,,,,,,,
03-11-2021,13 - 14,"1217,10","987,41","1217,10","987,41","230,00","207,20","230,00","168,54","1217,10","987,41",,,,,,,,,,,,,,
03-11-2021,14 - 15,"1217,10","987,90","1217,10","987,90","230,66","209,05","230,66","168,74","1217,10","987,90",,,,,,,,,,,,,,
03-11-2021,15 - 16,"1217,10","999,48","1217,10","999,48","236,41","211,87","236,41","170,10","1217,10","999,48",,,,,,,,,,,,,,
03-11-2021,16 - 17,"1402,10","1057,32","1402,10","1057,32","243,42","212,75","243,42","173,02","1402,10","1057,32",,,,,,,,,,,,,,
03-11-2021,17 - 18,"1450,78","1162,67","1450,78","1162,67","385,48","215,67","385,48","169,91","1450,78","1162,67",,,,,,,,,,,,,,
03-11-2021,18 - 19,"1450,78","1161,21","1450,78","1161,21","385,58","223,07","385,58","168,74","1450,78","1161,21",,,,,,,,,,,,,,
03-11-2021,19 - 20,"1402,10","1012,82","1402,10","1012,82","285,00","219,86","285,00","168,74","1402,10","1012,82",,,,,,,,,,,,,,
03-11-2021,20 - 21,"1071,05","930,35","1071,05","930,35","285,00","217,33","285,00","168,54","1071,05","930,35",,,,,,,,,,,,,,
03-11-2021,21 - 22,"934,73","905,13","934,73","905,13","223,75","223,75","168,25","168,25","934,73","905,13",,,,,,,,,,,,,,
03-11-2021,22 - 23,"944,47","883,03","944,47","883,03","210,41","210,41","167,96","167,96","944,47","883,03",,,,,,,,,,,,,,
03-11-2021,23 - 00,"954,21","869,98","954,21","869,98","243,42","192,30","243,42","165,92","954,21","869,98",,,,,,,,,,,,,,
04-11-2021,00 - 01,"906,35","906,35","906,35","906,35","244,80","190,45","244,80","190,45","906,35","906,35",,,,,,,,,,,,,,
04-11-2021,01 - 02,"893,72","893,72","893,72","893,72","244,80","180,17","244,80","180,17","893,72","893,72",,,,,,,,,,,,,,
04-11-2021,02 - 03,"890,58","890,58","890,58","890,58","244,80","176,45","244,80","176,45","890,58","890,58",,,,,,,,,,,,,,
04-11-2021,03 - 04,"892,34","892,34","892,34","892,34","244,80","183,50","244,80","183,50","892,34","892,34",,,,,,,,,,,,,,
04-11-2021,04 - 05,"898,71","898,71","898,71","898,71","194,96","194,96","194,96","194,96","898,71","898,71",,,,,,,,,,,,,,
04-11-2021,05 - 06,"931,81","931,81","931,81","931,81","212,68","212,68","212,68","212,68","931,81","931,81",,,,,,,,,,,,,,
04-11-2021,06 - 07,"1014,65","1014,65","1014,65","1014,65","232,76","232,76","232,76","232,76","1014,65","1014,65",,,,,,,,,,,,,,
04-11-2021,07 - 08,"1168,97","1168,97","1168,97","1168,97","262,13","262,13","262,13","262,13","1168,97","1168,97",,,,,,,,,,,,,,
04-11-2021,08 - 09,"1429,63","1216,07","1429,63","1216,07","319,12","319,12","319,12","319,12","1429,63","1216,07",,,,,,,,,,,,,,
04-11-2021,09 - 10,"1429,63","1216,26","1429,63","1216,26","336,65","336,65","336,65","336,65","1429,63","1216,26",,,,,,,,,,,,,,
04-11-2021,10 - 11,"1365,98","1181,50","1365,98","1181,50","333,81","333,81","333,81","333,81","1365,98","1181,50",,,,,,,,,,,,,,
04-11-2021,11 - 12,"1101,31","1077,12","1101,31","1077,12","306,59","306,59","306,59","306,59","1101,31","1077,12",,,,,,,,,,,,,,
04-11-2021,12 - 13,"1057,24","974,30","1057,24","974,30","289,16","289,16","289,16","289,16","1057,24","974,30",,,,,,,,,,,,,,
04-11-2021,13 - 14,"1057,24","920,45","1057,24","920,45","290,92","290,92","290,92","290,92","1057,24","920,45",,,,,,,,,,,,,,
04-11-2021,14 - 15,"1055,28","920,45","1055,28","920,45","281,42","127,30","281,42","127,30","1055,28","920,45",,,,,,,,,,,,,,
04-11-2021,15 - 16,"1094,65","881,28","1094,65","881,28","263,11","120,00","263,11","120,00","1094,65","881,28",,,,,,,,,,,,,,
04-11-2021,16 - 17,"1183,17","881,28","1183,17","881,28","263,21","120,00","263,21","120,00","1183,17","881,28",,,,,,,,,,,,,,
04-11-2021,17 - 18,"1222,34","910,66","1222,34","910,66","255,77","146,88","255,77","146,88","1222,34","910,66",,,,,,,,,,,,,,
04-11-2021,18 - 19,"1147,72","822,53","1147,72","822,53","245,68","107,71","245,68","107,71","1147,72","822,53",,,,,,,,,,,,,,
04-11-2021,19 - 20,"1001,62","832,32","1001,62","832,32","231,38","48,96","231,38","48,96","1001,62","832,32",,,,,,,,,,,,,,
04-11-2021,20 - 21,"960,60","881,28","960,60","881,28","219,05","0,00","219,05","0,00","960,60","881,28",,,,,,,,,,,,,,
04-11-2021,21 - 22,"956,19","881,28","956,19","881,28","210,63","-19,58","210,63","-19,58","956,19","881,28",,,,,,,,,,,,,,
04-11-2021,22 - 23,"945,22","773,57","945,22","773,57","202,30","0,00","202,30","0,00","945,22","773,57",,,,,,,,,,,,,,
04-11-2021,23 - 00,"909,77","758,88","909,77","758,88","182,42","0,00","182,42","0,00","909,77","758,88",,,,,,,,,,,,,,
05-11-2021,00 - 01,"912,93","764,23","912,93","764,23","159,35","0,00","159,35","0,00","912,93","764,23",,,,,,,,,,,,,,
05-11-2021,01 - 02,"861,56","764,23","861,56","764,23","147,42","49,31","147,42","49,31","861,56","764,23",,,,,,,,,,,,,,
05-11-2021,02 - 03,"858,70","764,23","858,70","764,23","144,76","49,31","144,76","49,31","858,70","764,23",,,,,,,,,,,,,,
05-11-2021,03 - 04,"856,33","764,23","856,33","764,23","146,93","49,31","146,93","49,31","856,33","764,23",,,,,,,,,,,,,,
05-11-2021,04 - 05,"855,64","764,23","855,64","764,23","150,28","49,31","150,28","49,31","855,64","764,23",,,,,,,,,,,,,,
05-11-2021,05 - 06,"865,99","764,23","865,99","764,23","170,20","49,31","170,20","49,31","865,99","764,23",,,,,,,,,,,,,,
05-11-2021,06 - 07,"936,30","783,95","936,30","783,95","171,58","49,31","171,58","49,31","936,30","783,95",,,,,,,,,,,,,,
05-11-2021,07 - 08,"988,17","838,19","988,17","838,19","182,13","118,33","182,13","118,33","988,17","838,19",,,,,,,,,,,,,,
05-11-2021,08 - 09,"1009,87","857,91","1009,87","857,91","191,80","98,61","191,80","98,61","1009,87","857,91",,,,,,,,,,,,,,
05-11-2021,09 - 10,"991,33","838,19","991,33","838,19","193,37","88,75","193,37","88,75","991,33","838,19",,,,,,,,,,,,,,
05-11-2021,10 - 11,"958,98","788,88","958,98","788,88","192,59","88,75","192,59","88,75","958,98","788,88",,,,,,,,,,,,,,
05-11-2021,11 - 12,"918,35","918,35","918,35","918,35","188,25","100,00","188,25","100,00","918,35","918,35",,,,,,,,,,,,,,
05-11-2021,12 - 13,"863,33","863,33","863,33","863,33","184,50","108,47","184,50","108,47","863,33","863,33",,,,,,,,,,,,,,
05-11-2021,13 - 14,"847,65","759,30","847,65","759,30","181,74","110,00","181,74","110,00","847,65","759,30",,,,,,,,,,,,,,
05-11-2021,14 - 15,"843,31","739,58","843,31","739,58","178,78","178,78","178,78","178,78","843,31","739,58",,,,,,,,,,,,,,
05-11-2021,15 - 16,"843,81","714,92","843,81","714,92","174,24","174,24","174,24","174,24","843,81","714,92",,,,,,,,,,,,,,
05-11-2021,16 - 17,"866,88","714,92","866,88","714,92","170,00","170,00","170,00","170,00","866,88","714,92",,,,,,,,,,,,,,
05-11-2021,17 - 18,"895,87","895,87","895,87","895,87","167,54","167,54","167,54","167,54","895,87","895,87",,,,,,,,,,,,,,
05-11-2021,18 - 19,"873,59","788,88","873,59","788,88","155,31","155,31","155,31","155,31","873,59","788,88",,,,,,,,,,,,,,
05-11-2021,19 - 20,"843,21","769,16","843,21","769,16","150,77","108,47","150,77","108,47","843,21","769,16",,,,,,,,,,,,,,
05-11-2021,20 - 21,"809,59","759,30","809,59","759,30","146,73","49,31","146,73","49,31","809,59","759,30",,,,,,,,,,,,,,
05-11-2021,21 - 22,"789,77","749,44","789,77","749,44","132,04","-5,00","132,04","-5,00","789,77","749,44",,,,,,,,,,,,,,
05-11-2021,22 - 23,"777,54","690,27","777,54","690,27","120,60","-5,00","120,60","-5,00","777,54","690,27",,,,,,,,,,,,,,
05-11-2021,23 - 00,"773,30","690,27","773,30","690,27","72,28","-4,93","72,28","-4,93","773,30","690,27",,,,,,,,,,,,,,
06-11-2021,00 - 01,"818,30","774,72","818,30","774,72","33,62","0,00","33,62","0,00","818,30","774,72",,,,,,,,,,,,,,
06-11-2021,01 - 02,"818,30","766,34","818,30","766,34","39,34","0,00","39,34","0,00","818,30","766,34",,,,,,,,,,,,,,
06-11-2021,02 - 03,"818,30","758,16","818,30","758,16","20,61","0,00","20,61","0,00","818,30","758,16",,,,,,,,,,,,,,
06-11-2021,03 - 04,"818,30","744,06","818,30","744,06","18,34","0,00","18,34","-29,58","818,30","744,06",,,,,,,,,,,,,,
06-11-2021,04 - 05,"838,02","769,00","838,02","769,00","39,83","4,93","39,83","-39,44","838,02","769,00",,,,,,,,,,,,,,
06-11-2021,05 - 06,"838,02","773,24","838,02","773,24","50,68","4,93","50,68","-39,44","838,02","773,24",,,,,,,,,,,,,,
06-11-2021,06 - 07,"847,87","770,19","847,87","770,19","28,10","4,93","28,10","-39,44","847,87","770,19",,,,,,,,,,,,,,
06-11-2021,07 - 08,"823,23","776,69","823,23","776,69","33,62","4,93","33,62","-39,44","823,23","776,69",,,,,,,,,,,,,,
06-11-2021,08 - 09,"795,03","795,03","795,03","795,03","76,51","4,93","76,51","-39,44","795,03","795,03",,,,,,,,,,,,,,
06-11-2021,09 - 10,"822,73","822,73","822,73","822,73","96,82","19,72","96,82","49,30","822,73","822,73",,,,,,,,,,,,,,
06-11-2021,10 - 11,"825,79","825,79","825,79","825,79","110,13","110,13","110,13","110,13","825,79","825,79",,,,,,,,,,,,,,
06-11-2021,11 - 12,"803,02","803,02","803,02","803,02","113,77","113,77","113,77","113,77","803,02","803,02",,,,,,,,,,,,,,
06-11-2021,12 - 13,"823,23","774,03","823,23","774,03","116,04","116,04","116,04","116,04","823,23","774,03",,,,,,,,,,,,,,
06-11-2021,13 - 14,"823,23","773,64","823,23","773,64","116,83","116,83","116,83","116,83","823,23","773,64",,,,,,,,,,,,,,
06-11-2021,14 - 15,"823,23","776,20","823,23","776,20","124,62","124,62","124,62","124,62","823,23","776,20",,,,,,,,,,,,,,
06-11-2021,15 - 16,"791,87","791,87","791,87","791,87","133,29","133,29","133,29","133,29","791,87","791,87",,,,,,,,,,,,,,
06-11-2021,16 - 17,"806,76","806,76","806,76","806,76","135,27","135,27","135,27","135,27","806,76","806,76",,,,,,,,,,,,,,
06-11-2021,17 - 18,"817,41","817,41","817,41","817,41","137,14","137,14","137,14","137,14","817,41","817,41",,,,,,,,,,,,,,
06-11-2021,18 - 19,"805,38","805,38","805,38","805,38","137,53","137,53","137,53","137,53","805,38","805,38",,,,,,,,,,,,,,
06-11-2021,19 - 20,"818,30","778,27","818,30","778,27","131,72","131,72","131,72","131,72","818,30","778,27",,,,,,,,,,,,,,
06-11-2021,20 - 21,"808,44","757,27","808,44","757,27","125,80","125,80","125,80","125,80","808,44","757,27",,,,,,,,,,,,,,
06-11-2021,21 - 22,"800,00","705,61","800,00","705,61","125,11","125,11","125,11","125,11","800,00","705,61",,,,,,,,,,,,,,
06-11-2021,22 - 23,"693,38","693,38","693,38","693,38","117,22","117,22","117,22","117,22","693,38","693,38",,,,,,,,,,,,,,
06-11-2021,23 - 00,"669,92","669,92","669,92","669,92","100,76","100,76","100,76","100,76","669,92","669,92",,,,,,,,,,,,,,
07-11-2021,00 - 01,"694,12","694,12","694,12","694,12","66,54","66,54","66,54","66,54","694,12","694,12",,,,,,,,,,,,,,
07-11-2021,01 - 02,"639,64","639,64","639,64","639,64","46,27","46,27","46,27","46,27","639,64","639,64",,,,,,,,,,,,,,
07-11-2021,02 - 03,"524,75","524,75","524,75","524,75","34,01","34,01","34,01","34,01","635,98","635,98",,,,,,,,,,,,,,
07-11-2021,03 - 04,"371,39","371,39","371,39","371,39","16,22","16,22","16,22","16,22","635,09","635,09",,,,,,,,,,,,,,
07-11-2021,04 - 05,"283,29","276,86","283,29","276,86","14,54","14,54","14,54","14,54","635,98","276,86",,,,,,,,,,,,,,
07-11-2021,05 - 06,"416,77","227,42","416,77","227,42","27,39","27,39","27,39","27,39","634,70","227,42",,,,,,,,,,,,,,
07-11-2021,06 - 07,"593,07","227,42","593,07","227,42","32,43","32,43","32,43","32,43","602,76","227,42",,,,,,,,,,,,,,
07-11-2021,07 - 08,"593,96","227,42","593,96","227,42","91,76","91,76","91,76","91,76","593,96","227,42",,,,,,,,,,,,,,
07-11-2021,08 - 09,"684,63","684,63","684,63","684,63","107,38","107,38","107,38","107,38","684,63","684,63",,,,,,,,,,,,,,
07-11-2021,09 - 10,"734,27","593,27","734,27","593,27","139,22","139,22","139,22","139,22","734,27","593,27",,,,,,,,,,,,,,
07-11-2021,10 - 11,"765,12","593,27","765,12","593,27","124,98","98,88","124,98","98,88","765,12","593,27",,,,,,,,,,,,,,
07-11-2021,11 - 12,"771,05","593,27","771,05","593,27","136,85","98,88","136,85","98,88","771,05","593,27",,,,,,,,,,,,,,
07-11-2021,12 - 13,"758,00","593,27","758,00","593,27","139,81","98,88","139,81","98,88","758,00","593,27",,,,,,,,,,,,,,
07-11-2021,13 - 14,"732,29","593,27","732,29","593,27","151,48","98,88","151,48","98,88","732,29","593,27",,,,,,,,,,,,,,
07-11-2021,14 - 15,"760,57","760,57","760,57","760,57","157,41","98,88","157,41","98,88","760,57","760,57",,,,,,,,,,,,,,
07-11-2021,15 - 16,"769,77","769,77","769,77","769,77","171,55","98,88","171,55","98,88","769,77","769,77",,,,,,,,,,,,,,
07-11-2021,16 - 17,"787,46","787,46","787,46","787,46","174,22","174,22","174,22","174,22","787,46","787,46",,,,,,,,,,,,,,
07-11-2021,17 - 18,"829,09","829,09","829,09","829,09","178,18","178,18","178,18","178,18","829,09","829,09",,,,,,,,,,,,,,
07-11-2021,18 - 19,"825,33","825,33","825,33","825,33","173,53","173,53","173,53","173,53","825,33","825,33",,,,,,,,,,,,,,
07-11-2021,19 - 20,"839,97","839,97","839,97","839,97","173,83","173,83","173,83","173,83","839,97","839,97",,,,,,,,,,,,,,
07-11-2021,20 - 21,"820,49","820,49","820,49","820,49","172,64","172,64","172,64","172,64","820,49","820,49",,,,,,,,,,,,,,
07-11-2021,21 - 22,"783,81","783,81","783,81","783,81","207,64","170,56","207,64","170,56","783,81","783,81",,,,,,,,,,,,,,
07-11-2021,22 - 23,"780,54","780,54","780,54","780,54","250,00","156,33","250,00","156,33","780,54","780,54",,,,,,,,,,,,,,
07-11-2021,23 - 00,"780,05","780,05","780,05","780,05","200,00","145,85","200,00","145,85","780,05","780,05",,,,,,,,,,,,,,
08-11-2021,00 - 01,"769,47","769,47","769,47","769,47","152,27","152,27","152,27","152,27","769,47","769,47",,,,,,,,,,,,,,
08-11-2021,01 - 02,"764,33","764,33","764,33","764,33","150,49","150,49","150,49","150,49","764,33","764,33",,,,,,,,,,,,,,
08-11-2021,02 - 03,"763,04","763,04","763,04","763,04","150,69","150,69","150,69","150,69","763,04","763,04",,,,,,,,,,,,,,
08-11-2021,03 - 04,"777,08","777,08","777,08","777,08","153,76","98,88","153,76","98,88","777,08","777,08",,,,,,,,,,,,,,
08-11-2021,04 - 05,"829,49","829,49","829,49","829,49","163,84","98,88","163,84","98,88","829,49","829,49",,,,,,,,,,,,,,
08-11-2021,05 - 06,"888,02","888,02","888,02","888,02","203,99","108,77","203,99","108,77","888,02","888,02",,,,,,,,,,,,,,
08-11-2021,06 - 07,"977,01","977,01","977,01","977,01","210,91","210,91","210,91","210,91","977,01","977,01",,,,,,,,,,,,,,
08-11-2021,07 - 08,"1134,23","1134,23","1134,23","1134,23","285,00","218,42","285,00","218,42","1134,23","1134,23",,,,,,,,,,,,,,
08-11-2021,08 - 09,"1285,22","1285,22","1285,22","1285,22","282,20","224,65","282,20","224,65","1285,22","1285,22",,,,,,,,,,,,,,
08-11-2021,09 - 10,"1291,94","1291,94","1291,94","1291,94","282,20","249,67","282,20","249,67","1291,94","1291,94",,,,,,,,,,,,,,
08-11-2021,10 - 11,"1275,53","1236,57","1275,53","1236,57","326,20","266,08","326,20","266,08","1275,53","1236,57",,,,,,,,,,,,,,
08-11-2021,11 - 12,"1164,98","1164,98","1164,98","1164,98","310,00","268,16","310,00","268,16","1164,98","1164,98",,,,,,,,,,,,,,
08-11-2021,12 - 13,"1084,59","1084,59","1084,59","1084,59","310,00","290,40","310,00","290,40","1084,59","1084,59",,,,,,,,,,,,,,
08-11-2021,13 - 14,"1123,95","1123,95","1123,95","1123,95","310,00","249,27","310,00","249,27","1123,95","1123,95",,,,,,,,,,,,,,
08-11-2021,14 - 15,"1162,11","1162,11","1162,11","1162,11","310,00","227,22","310,00","227,22","1162,11","1162,11",,,,,,,,,,,,,,
08-11-2021,15 - 16,"1261,49","1261,49","1261,49","1261,49","289,71","225,15","289,71","225,15","1261,49","1261,49",,,,,,,,,,,,,,
08-11-2021,16 - 17,"2197,56","2197,56","2197,56","2197,56","350,00","220,30","350,00","220,30","2197,56","2197,56",,,,,,,,,,,,,,
08-11-2021,17 - 18,"2779,07","2779,07","2779,07","2779,07","350,00","218,42","350,00","218,42","2779,07","2779,07",,,,,,,,,,,,,,
08-11-2021,18 - 19,"2669,41","2669,41","2669,41","2669,41","350,00","216,84","350,00","216,84","2669,41","2669,41",,,,,,,,,,,,,,
08-11-2021,19 - 20,"1220,45","1220,45","1220,45","1220,45","211,40","211,40","211,40","211,40","1220,45","1220,45",,,,,,,,,,,,,,
08-11-2021,20 - 21,"1039,21","1039,21","1039,21","1039,21","212,79","212,79","212,79","212,79","1039,21","1039,21",,,,,,,,,,,,,,
08-11-2021,21 - 22,"1003,91","1003,91","1003,91","1003,91","205,77","205,77","205,77","205,77","1003,91","1003,91",,,,,,,,,,,,,,
08-11-2021,22 - 23,"948,93","948,93","948,93","948,93","192,52","192,52","192,52","192,52","948,93","948,93",,,,,,,,,,,,,,
08-11-2021,23 - 00,"866,47","866,47","866,47","866,47","170,56","170,56","170,56","170,56","866,47","866,47",,,,,,,,,,,,,,
09-11-2021,00 - 01,"873,19","873,19","873,19","873,19","306,52","168,29","306,52","168,29","873,19","873,19",,,,,,,,,,,,,,
09-11-2021,01 - 02,"838,29","838,29","838,29","838,29","306,52","151,58","306,52","151,58","838,29","838,29",,,,,,,,,,,,,,
09-11-2021,02 - 03,"818,22","818,22","818,22","818,22","257,08","145,55","257,08","145,55","818,22","818,22",,,,,,,,,,,,,,
09-11-2021,03 - 04,"794,98","794,98","794,98","794,98","197,76","141,40","197,76","141,40","794,98","794,98",,,,,,,,,,,,,,
09-11-2021,04 - 05,"779,06","779,06","779,06","779,06","131,80","131,80","131,80","131,80","779,06","779,06",,,,,,,,,,,,,,
09-11-2021,05 - 06,"788,65","788,65","788,65","788,65","123,30","123,30","123,30","123,30","788,65","788,65",,,,,,,,,,,,,,
09-11-2021,06 - 07,"874,97","874,97","874,97","874,97","115,98","115,98","115,98","115,98","874,97","874,97",,,,,,,,,,,,,,
09-11-2021,07 - 08,"988,78","947,75","988,78","947,75","121,22","121,22","121,22","121,22","988,78","947,75",,,,,,,,,,,,,,
09-11-2021,08 - 09,"988,78","959,41","988,78","959,41","122,81","122,81","122,81","122,81","988,78","959,41",,,,,,,,,,,,,,
09-11-2021,09 - 10,"916,10","916,10","916,10","916,10","118,75","118,75","118,75","118,75","916,10","916,10",,,,,,,,,,,,,,
09-11-2021,10 - 11,"863,20","863,20","863,20","863,20","116,18","116,18","116,18","116,18","863,20","863,20",,,,,,,,,,,,,,
09-11-2021,11 - 12,"837,50","766,30","837,50","766,30","116,38","116,38","116,38","116,38","837,50","766,30",,,,,,,,,,,,,,
09-11-2021,12 - 13,"817,92","817,92","817,92","817,92","116,38","116,38","116,38","116,38","817,92","817,92",,,,,,,,,,,,,,
09-11-2021,13 - 14,"808,33","808,33","808,33","808,33","119,64","119,64","119,64","119,64","808,33","808,33",,,,,,,,,,,,,,
09-11-2021,14 - 15,"806,05","806,05","806,05","806,05","134,57","134,57","134,57","134,57","806,05","806,05",,,,,,,,,,,,,,
09-11-2021,15 - 16,"808,13","808,13","808,13","808,13","225,00","142,38","225,00","142,38","808,13","808,13",,,,,,,,,,,,,,
09-11-2021,16 - 17,"832,75","832,75","832,75","832,75","225,00","144,56","225,00","144,56","832,75","832,75",,,,,,,,,,,,,,
09-11-2021,17 - 18,"844,91","844,91","844,91","844,91","225,00","144,36","225,00","144,36","844,91","844,91",,,,,,,,,,,,,,
09-11-2021,18 - 19,"832,06","832,06","832,06","832,06","225,00","144,76","225,00","144,76","832,06","832,06",,,,,,,,,,,,,,
09-11-2021,19 - 20,"807,93","692,15","807,93","692,15","144,16","144,16","144,16","144,16","807,93","692,15",,,,,,,,,,,,,,
09-11-2021,20 - 21,"779,36","692,15","779,36","692,15","135,27","135,27","135,27","135,27","779,36","692,15",,,,,,,,,,,,,,
09-11-2021,21 - 22,"763,73","642,71","763,73","642,71","138,53","138,53","138,53","138,53","763,73","642,71",,,,,,,,,,,,,,
09-11-2021,22 - 23,"751,28","642,71","751,28","642,71","116,18","116,18","116,18","116,18","751,28","642,71",,,,,,,,,,,,,,
09-11-2021,23 - 00,"745,14","57,17","745,14","57,17","64,07","57,17","64,07","57,17","745,14","57,17",,,,,,,,,,,,,,
10-11-2021,00 - 01,"790,65","150,00","790,65","150,00","38,71","38,71","38,71","38,71","790,65","150,00",,,,,,,,,,,,,,
10-11-2021,01 - 02,"778,21","9,87","778,21","9,87","38,51","9,87","38,51","9,87","778,21","9,87",,,,,,,,,,,,,,
10-11-2021,02 - 03,"768,33","0,00","768,33","0,00","37,62","0,00","37,62","0,00","768,33","0,00",,,,,,,,,,,,,,
10-11-2021,03 - 04,"790,06","0,00","790,06","0,00","39,40","0,00","39,40","0,00","790,06","0,00",,,,,,,,,,,,,,
10-11-2021,04 - 05,"793,42","0,00","793,42","0,00","48,58","0,00","48,58","0,00","793,42","0,00",,,,,,,,,,,,,,
10-11-2021,05 - 06,"797,66","375,23","797,66","375,23","95,68","95,68","95,68","95,68","797,66","375,23",,,,,,,,,,,,,,
10-11-2021,06 - 07,"814,15","602,34","814,15","602,34","119,19","119,19","119,19","119,19","814,15","602,34",,,,,,,,,,,,,,
10-11-2021,07 - 08,"838,54","838,54","838,54","838,54","125,01","125,01","125,01","125,01","838,54","838,54",,,,,,,,,,,,,,
10-11-2021,08 - 09,"895,62","760,34","895,62","760,34","124,32","124,32","124,32","124,32","895,62","760,34",,,,,,,,,,,,,,
10-11-2021,09 - 10,"938,67","720,84","938,67","720,84","121,75","121,75","121,75","121,75","938,67","720,84",,,,,,,,,,,,,,
10-11-2021,10 - 11,"934,62","730,71","934,62","730,71","119,88","119,88","119,88","119,88","934,62","730,71",,,,,,,,,,,,,,
10-11-2021,11 - 12,"898,88","720,84","898,88","720,84","119,58","49,37","119,58","49,37","898,88","720,84",,,,,,,,,,,,,,
10-11-2021,12 - 13,"894,04","730,71","894,04","730,71","121,75","49,37","121,75","49,37","894,04","730,71",,,,,,,,,,,,,,
10-11-2021,13 - 14,"902,04","750,46","902,04","750,46","122,05","39,50","122,05","39,50","902,04","750,46",,,,,,,,,,,,,,
10-11-2021,14 - 15,"893,35","755,40","893,35","755,40","120,77","39,50","120,77","39,50","893,35","755,40",,,,,,,,,,,,,,
10-11-2021,15 - 16,"899,47","755,40","899,47","755,40","118,99","39,50","118,99","39,50","899,47","755,40",,,,,,,,,,,,,,
10-11-2021,16 - 17,"938,97","755,40","938,97","755,40","117,11","39,50","117,11","39,50","938,97","755,40",,,,,,,,,,,,,,
10-11-2021,17 - 18,"965,92","770,21","965,92","770,21","111,98","39,50","111,98","39,50","965,92","770,21",,,,,,,,,,,,,,
10-11-2021,18 - 19,"963,75","864,02","963,75","864,02","109,71","49,37","109,71","49,37","963,75","864,02",,,,,,,,,,,,,,
10-11-2021,19 - 20,"959,80","864,02","959,80","864,02","106,74","49,37","106,74","49,37","959,80","864,02",,,,,,,,,,,,,,
10-11-2021,20 - 21,"987,45","864,02","987,45","864,02","100,42","29,62","100,42","29,62","987,45","864,02",,,,,,,,,,,,,,
