Regulating prices in NOK/MWh,,,,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 24-11-2021,,,,,,,,,,,,,,,,,,,,,,,,,
,,NO1,,NO2,,NO3,,NO4,,NO5,,SE1,,SE2,,SE3,,SE4,,FI,,DK1,,DK2,
,Hours,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down
07-01-2021,23 - 00,"530,16","530,16","530,16","530,16","533,93","533,93","264,71","264,71","530,16","530,16",,,,,,,,,,,,,,
08-01-2021,00 - 01,"511,89","415,24","511,89","415,24","511,89","415,24","290,25","290,25","511,89","415,24",,,,,,,,,,,,,,
08-01-2021,01 - 02,"491,85","382,55","491,85","382,55","491,85","382,55","284,34","284,34","491,85","382,55",,,,,,,,,,,,,,
08-01-2021,02 - 03,"475,24","363,34","475,24","363,34","475,24","363,34","281,33","281,33","475,24","363,34",,,,,,,,,,,,,,
08-01-2021,03 - 04,"462,06","363,34","462,06","363,34","462,06","363,34","285,69","285,69","462,06","363,34",,,,,,,,,,,,,,
08-01-2021,04 - 05,"474,31","373,72","474,31","373,72","474,31","373,72","286,93","286,93","474,31","373,72",,,,,,,,,,,,,,
08-01-2021,05 - 06,"522,48","467,15","522,48","467,15","522,48","467,15","298,77","298,77","522,48","467,15",,,,,,,,,,,,,,
08-01-2021,06 - 07,"619,12","560,57","619,12","560,57","619,85","560,57","329,70","329,70","619,12","560,57",,,,,,,,,,,,,,
08-01-2021,07 - 08,"803,28","560,57","803,28","560,57","825,91","560,57","288,90","288,90","803,28","560,57",,,,,,,,,,,,,,
08-01-2021,08 - 09,"1074,85","555,80","1074,85","555,80","1074,85","555,80","311,53","311,53","1074,85","555,80",,,,,,,,,,,,,,
08-01-2021,09 - 10,"1119,07","519,05","1119,07","519,05","1119,07","519,05","330,22","330,22","1119,07","519,05",,,,,,,,,,,,,,
08-01-2021,10 - 11,"1114,09","498,29","1114,09","498,29","1114,09","498,29","370,91","370,91","1114,09","498,29",,,,,,,,,,,,,,
08-01-2021,11 - 12,"1083,72","540,04","1083,72","540,04","1083,72","540,04","1083,72","487,28","1083,72","540,04",,,,,,,,,,,,,,
08-01-2021,12 - 13,"1038,56","1037,17","1038,56","1037,17","1038,56","1037,17","1038,56","438,80","1038,56","1037,17",,,,,,,,,,,,,,
08-01-2021,13 - 14,"990,00","498,29","990,00","498,29","990,00","498,29","990,00","493,93","990,00","498,29",,,,,,,,,,,,,,
08-01-2021,14 - 15,"962,53","498,29","962,53","498,29","962,53","498,29","462,16","462,16","962,53","498,29",,,,,,,,,,,,,,
08-01-2021,15 - 16,"990,56","450,00","990,56","450,00","990,56","450,00","453,86","450,00","990,56","450,00",,,,,,,,,,,,,,
08-01-2021,16 - 17,"986,20","450,00","986,20","450,00","986,20","450,00","339,56","339,56","986,20","450,00",,,,,,,,,,,,,,
08-01-2021,17 - 18,"1141,91","456,76","1141,91","456,76","1141,91","456,76","319,63","319,63","1141,91","456,76",,,,,,,,,,,,,,
08-01-2021,18 - 19,"1037,58","420,00","1037,58","420,00","1037,58","420,00","324,51","324,51","1037,58","420,00",,,,,,,,,,,,,,
08-01-2021,19 - 20,"831,73","420,00","831,73","420,00","831,73","420,00","309,98","309,98","831,73","420,00",,,,,,,,,,,,,,
08-01-2021,20 - 21,"638,22","421,92","638,22","421,92","638,22","421,92","329,60","329,60","638,22","421,92",,,,,,,,,,,,,,
08-01-2021,21 - 22,"616,94","456,76","616,94","456,76","616,94","456,76","308,52","308,52","616,94","456,76",,,,,,,,,,,,,,
08-01-2021,22 - 23,"583,62","363,34","583,62","363,34","583,62","363,34","309,56","309,56","583,62","363,34",,,,,,,,,,,,,,
08-01-2021,23 - 00,"524,03","363,34","524,03","363,34","524,03","363,34","291,81","291,81","524,03","363,34",,,,,,,,,,,,,,
